model,question,reference,generated,response_time,rouge1,rouge2,rougeL,semantic_similarity,medical_accuracy,overall_accuracy
Baseline_LSTM,What are the primary mechanisms underlying hypertension in essential hypertension?,"Essential hypertension results from a combination of genetic and environmental factors that affect cardiac output and systemic vascular resistance. Mechanisms include increased sympathetic nervous system activity, altered renal sodium handling leading to volume expansion, endothelial dysfunction, and vascular remodeling. Additionally, activation of the renin-angiotensin-aldosterone system (RAAS) contributes to vasoconstriction and sodium retention.","Patients with autonomic failure and the elderly are susceptible to
falls in blood pressure associated with meals. The magnitude of the
blood pressure fall is exacerbated by large meals, meals high in
carbohydrate, and alcohol intake. , α-adrenoreceptor
antagonists used to treat hypertension and prostatic hypertrophy;
antihypertensive agents of several classes; nitrates and other (<120/<80 mmHg) do have a lower risk compared with untreated
patients with hypertension, but they still have twice the risk of
cardiovascular events as those who maintained optimal blood
pressure without medications.",0.08816051483154297,0.15714285714285714,0.014492753623188404,0.08571428571428572,0.4534536,0.2,0.31101251448903766
Baseline_LSTM,Explain the pathophysiology and clinical manifestations of congestive heart failure (CHF).,"Congestive heart failure occurs when the heart cannot maintain adequate cardiac output to meet the body's metabolic demands. Pathophysiologically, it involves systolic or diastolic dysfunction leading to increased ventricular filling pressures and pulmonary or systemic congestion. Clinically, patients present with dyspnea, orthopnea, paroxysmal nocturnal dyspnea, fatigue, and peripheral edema.","Orthopnea is a common indicator of congestive heart
failure (CHF), mechanical impairment of the diaphragm associated
with obesity, or asthma triggered by esophageal reflux. Unilateral effusions raise the specter of carcinoma and pulmonary
embolism but may also occur in heart failure or in the case of a
parapneumonic effusion. For
example, the presence of fever might point toward an underlying
infectious or inflammatory process; the presence of hypertension
in the setting of a heart failure might point toward diastolic
dysfunction; the presence of tachycardia might be associated with
many different underlying processes including fever, cardiac
dysfunction, and deconditioning; and the presence of resting.",0.019111156463623047,0.22222222222222227,0.052980132450331126,0.14379084967320263,0.61508703,0.5714285714285714,0.5155733947771715
Baseline_LSTM,Discuss the causes and management of iron deficiency anemia.,"Iron deficiency anemia occurs due to inadequate dietary intake, chronic blood loss (especially gastrointestinal), or malabsorption. Laboratory findings include low hemoglobin, microcytic hypochromic red cells, and low ferritin. Management involves treating the underlying cause and replenishing iron stores using oral or intravenous iron supplements.","Iron deficiency is the most
common treatable cause, and iron replacement should be
considered if the ferritin level is <75 ng/mL. Low serum ferritin in the absence of
anemia may also cause fatigue that is reversible with iron
replacement. However,
since the concentration of the latter is markedly reduced, the
absolute quantity of reduced hemoglobin may still be low, and,
therefore, patients with severe anemia and even marked arterial
desaturation may not display cyanosis.",0.025781869888305664,0.2184873949579832,0.03418803418803419,0.13445378151260506,0.76033264,0.25,0.49046043963993297
Baseline_LSTM,Describe the etiology and diagnostic approach to chronic kidney disease (CKD).,"Chronic kidney disease results from progressive loss of renal function over months to years. Common causes include diabetes mellitus, hypertension, glomerulonephritis, and polycystic kidney disease. Diagnosis relies on persistent reduction in estimated glomerular filtration rate (eGFR) and evidence of kidney damage, such as albuminuria or abnormal imaging findings.","Blacks have higher rates of end-stage
kidney disease and death due to kidney failure than the overall
population. The most widely used cohort-derived equation to
estimate glomerular filtration rate (GFR), the Chronic Kidney Disease
Epidemiology Collaboration (CKD-EPI) equation, has the limitation
that it produces 80–90% estimated GFR (eGFR) values that are
within ±30% of a patient’s measured GFR. As a result
of the reduced colloid osmotic pressure, the sodium and water that end-stage kidney disease or heart failure.",0.02304220199584961,0.2878787878787879,0.09230769230769231,0.18181818181818182,0.6630598,0.3333333333333333,0.4784995825001688
Baseline_LSTM,Outline the pathogenesis and treatment of type 2 diabetes mellitus.,"Type 2 diabetes mellitus arises from insulin resistance and progressive beta-cell dysfunction. Risk factors include obesity, sedentary lifestyle, and genetic predisposition. Management includes lifestyle modification, oral hypoglycemic agents (e.g., metformin, SGLT2 inhibitors), and insulin therapy when necessary.","These complications of summarizing the absolute treatment difference and does not
provide any unique information. association with confusion; diabetes mellitus, and in particular type 1
diabetes, is also associated with fatigue independent of glucose
levels (Chap. Dysgeusia occurs commonly in the context
of drugs used to treat or minimize symptoms of cancer, with a
weighted prevalence from 56% to 76% depending on the type of
cancer treatment.",0.028469085693359375,0.11320754716981132,0.019230769230769232,0.05660377358490566,0.4578442,0.25,0.3209032309505175
Baseline_LSTM,"Explain the mechanisms, diagnosis, and management of acute myocardial infarction (MI).","Acute MI results from rupture or erosion of an atherosclerotic plaque leading to thrombotic occlusion of a coronary artery. Diagnosis is made using ECG changes (ST elevation or depression), elevated cardiac biomarkers (troponin), and clinical symptoms like chest pain. Treatment involves reperfusion therapy (PCI or thrombolysis), antiplatelet drugs, beta-blockers, and statins.","In order to guide therapeutic strategies, a
standardized system for classification of MI has been expanded to
discriminate MI resulting from acute coronary thrombosis (type 1 MI)
from MI occurring secondary to other imbalances of myocardial
oxygen supply and demand (type 2 MI; see Chap. When acute coronary atherothrombosis
occurs, the intracoronary thrombus may be partially obstructive,
generally leading to myocardial ischemia in the absence of STsegment elevation. Unstable ischemic heart disease is classified as
unstable angina when there is no detectable acute myocardial injury
and as non–ST elevation MI (NSTEMI) when there is evidence of
acute myocardial necrosis (Chap.",0.027771949768066406,0.2091503267973856,0.05298013245033112,0.13071895424836602,0.7525829,0.2857142857142857,0.49599266765720923
Baseline_LSTM,Discuss the differential diagnosis and management of fever of unknown origin (FUO).,"FUO is defined as a fever >38.3°C lasting more than three weeks without an established diagnosis after one week of investigation. Causes include infections (e.g., tuberculosis), malignancies (e.g., lymphoma), autoimmune disorders (e.g., SLE), and miscellaneous conditions. Management requires targeted investigations and empiric therapy based on likely causes.","MULDERS-MANDERS C et al: Long-term prognosis, treatment, and
outcome of patients with fever of unknown origin in whom no
diagnosis was made despite extensive investigation: A
questionnaire based study. A less aggressive diagnostic approach
may be used in clinically stable patients once diseases with
immediate therapeutic or prognostic consequences have been ruled outcome of patients with fever of unknown origin in whom no
diagnosis was made despite extensive investigation: A
questionnaire based study. van der Meer
■ DEFINITION
Clinicians commonly refer to any febrile illness without an initially
obvious etiology as fever of unknown origin (FUO).",0.021414995193481445,0.174496644295302,0.013605442176870748,0.06711409395973154,0.5292671,0.25,0.36379461016430953
Baseline_LSTM,Describe the clinical features and treatment of chronic obstructive pulmonary disease (COPD).,"COPD is characterized by airflow limitation due to chronic bronchitis and/or emphysema, usually from long-term smoking. Symptoms include chronic cough, sputum production, and progressive dyspnea. Treatment includes smoking cessation, bronchodilators, inhaled corticosteroids, pulmonary rehabilitation, and oxygen therapy for advanced cases.","Furthermore, it is increasingly
appreciated that the degree of dyspnea may better predict outcomes
in chronic obstructive pulmonary disease (COPD) than does the
forced expiratory volume in 1 s (FEV1), and formal measures of
dyspnea have been incorporated into the Global Initiative for Chronic
Obstructive Lung Disease (GOLD) COPD severity assessment
guidelines. In 2017, an international
group of experts defined “chronic breathlessness syndrome” as “the
experience of breathlessness that persists despite optimal
treatment of the underlying pathophysiology and results in disability
for the patient. TABLE 37-1 An Example of a Clinical Method for Rating
Dyspnea: The Modified Medical Research Council Dyspnea
Scalea possibility of bronchoconstriction, and the sensation of inability to
take a deep breath may correlate with dynamic hyperinflation from
COPD.",0.028984546661376953,0.15757575757575756,0.0,0.08484848484848484,0.69202995,0.8,0.610257400743889
Baseline_LSTM,Explain the causes and management of hyponatremia.,"Hyponatremia is defined as a serum sodium <135 mmol/L and results from excess water retention relative to sodium. Causes include SIADH, heart failure, cirrhosis, and renal failure. Management involves correcting underlying causes, restricting water intake, and cautiously correcting sodium to prevent osmotic demyelination.","The management of raised ICP is discussed in Chap. Hypoxia Secondary to High Altitude As one ascends rapidly to
3000 m (∼ 10,000 ft), the reduction of the O2 content of inspired air
(FIO2) leads to a decrease in alveolar PO2 to ∼ 60 mmHg, and a
condition termed high-altitude illness develops (see above). Patients slated for aminobisphosphonate therapy should receive
preventive dental care that reduces the risk of infection and the need
for future dentoalveolar surgery.",0.02012467384338379,0.1487603305785124,0.0,0.09917355371900825,0.35201764,0.25,0.2758022089635045
Baseline_LSTM,Discuss the approach to a patient with syncope.,"Syncope is a transient loss of consciousness due to cerebral hypoperfusion. The evaluation includes detailed history, physical examination, ECG, and orthostatic blood pressure measurement. Causes include vasovagal syncope, cardiac arrhythmias, and orthostatic hypotension. Management is cause-specific, ranging from reassurance to pacemaker implantation.","APPROACH TO THE PATIENT
Syncope
DIFFERENTIAL DIAGNOSIS
Syncope is easily diagnosed when the characteristic features are
present; however, several disorders with transient real or apparent
loss of consciousness may create diagnostic confusion. Syncope has a lifetime cumulative incidence
of up to 35% in the general population. The peak incidence in the
young occurs between ages 10 and 30 years, with a median peak
around 15 years.",0.030116558074951172,0.2201834862385321,0.056074766355140186,0.16513761467889906,0.61721826,0.0,0.34714123809009517
